"ID","DATE","YEAR","INDICATOR","MEASURE1","MEASURE2","MEASURE1_DESCRIPTION","MEASURE2_DESCRIPTION","VALUE1","UNITS","NOTE","SOURCE"
"1_2019_09_08","2019 Sep 08 12:00:00 AM","2,019","Capacity of Containerships Calling at U.S. Ports (in TEUs)",,,,,"1,608,609","TEUs","This series is now based on CBP's Vessel Management System (VMS) data (previously based on AIS data from IHS). The VMS series counts only vessels entering port for an official reason, typically to load or unload cargo which makes the number lower since the previous AIS series counted any vessel entering a port. The current week is an estimate; data is subject to change as remaining data is received over subsequent weeks.","MARAD Office of Policy and Plans analysis of CBP VMS data"
"1_2019_09_15","2019 Sep 15 12:00:00 AM","2,019","Capacity of Containerships Calling at U.S. Ports (in TEUs)",,,,,"2,094,440","TEUs","This series is now based on CBP's Vessel Management System (VMS) data (previously based on AIS data from IHS). The VMS series counts only vessels entering port for an official reason, typically to load or unload cargo which makes the number lower since the previous AIS series counted any vessel entering a port. The current week is an estimate; data is subject to change as remaining data is received over subsequent weeks.","MARAD Office of Policy and Plans analysis of CBP VMS data"
"1_2019_09_22","2019 Sep 22 12:00:00 AM","2,019","Capacity of Containerships Calling at U.S. Ports (in TEUs)",,,,,"2,094,648","TEUs","This series is now based on CBP's Vessel Management System (VMS) data (previously based on AIS data from IHS). The VMS series counts only vessels entering port for an official reason, typically to load or unload cargo which makes the number lower since the previous AIS series counted any vessel entering a port. The current week is an estimate; data is subject to change as remaining data is received over subsequent weeks.","MARAD Office of Policy and Plans analysis of CBP VMS data"
"1_2019_09_29","2019 Sep 29 12:00:00 AM","2,019","Capacity of Containerships Calling at U.S. Ports (in TEUs)",,,,,"2,108,606","TEUs","This series is now based on CBP's Vessel Management System (VMS) data (previously based on AIS data from IHS). The VMS series counts only vessels entering port for an official reason, typically to load or unload cargo which makes the number lower since the previous AIS series counted any vessel entering a port. The current week is an estimate; data is subject to change as remaining data is received over subsequent weeks.","MARAD Office of Policy and Plans analysis of CBP VMS data"
"1_2019_10_06","2019 Oct 06 12:00:00 AM","2,019","Capacity of Containerships Calling at U.S. Ports (in TEUs)",,,,,"2,076,075","TEUs","This series is now based on CBP's Vessel Management System (VMS) data (previously based on AIS data from IHS). The VMS series counts only vessels entering port for an official reason, typically to load or unload cargo which makes the number lower since the previous AIS series counted any vessel entering a port. The current week is an estimate; data is subject to change as remaining data is received over subsequent weeks.","MARAD Office of Policy and Plans analysis of CBP VMS data"
"1_2019_10_13","2019 Oct 13 12:00:00 AM","2,019","Capacity of Containerships Calling at U.S. Ports (in TEUs)",,,,,"1,957,289","TEUs","This series is now based on CBP's Vessel Management System (VMS) data (previously based on AIS data from IHS). The VMS series counts only vessels entering port for an official reason, typically to load or unload cargo which makes the number lower since the previous AIS series counted any vessel entering a port. The current week is an estimate; data is subject to change as remaining data is received over subsequent weeks.","MARAD Office of Policy and Plans analysis of CBP VMS data"
"1_2019_10_20","2019 Oct 20 12:00:00 AM","2,019","Capacity of Containerships Calling at U.S. Ports (in TEUs)",,,,,"2,102,434","TEUs","This series is now based on CBP's Vessel Management System (VMS) data (previously based on AIS data from IHS). The VMS series counts only vessels entering port for an official reason, typically to load or unload cargo which makes the number lower since the previous AIS series counted any vessel entering a port. The current week is an estimate; data is subject to change as remaining data is received over subsequent weeks.","MARAD Office of Policy and Plans analysis of CBP VMS data"
"1_2019_10_27","2019 Oct 27 12:00:00 AM","2,019","Capacity of Containerships Calling at U.S. Ports (in TEUs)",,,,,"1,962,006","TEUs","This series is now based on CBP's Vessel Management System (VMS) data (previously based on AIS data from IHS). The VMS series counts only vessels entering port for an official reason, typically to load or unload cargo which makes the number lower since the previous AIS series counted any vessel entering a port. The current week is an estimate; data is subject to change as remaining data is received over subsequent weeks.","MARAD Office of Policy and Plans analysis of CBP VMS data"
"1_2019_11_03","2019 Nov 03 12:00:00 AM","2,019","Capacity of Containerships Calling at U.S. Ports (in TEUs)",,,,,"1,886,159","TEUs","This series is now based on CBP's Vessel Management System (VMS) data (previously based on AIS data from IHS). The VMS series counts only vessels entering port for an official reason, typically to load or unload cargo which makes the number lower since the previous AIS series counted any vessel entering a port. The current week is an estimate; data is subject to change as remaining data is received over subsequent weeks.","MARAD Office of Policy and Plans analysis of CBP VMS data"
"1_2019_11_10","2019 Nov 10 12:00:00 AM","2,019","Capacity of Containerships Calling at U.S. Ports (in TEUs)",,,,,"1,907,137","TEUs","This series is now based on CBP's Vessel Management System (VMS) data (previously based on AIS data from IHS). The VMS series counts only vessels entering port for an official reason, typically to load or unload cargo which makes the number lower since the previous AIS series counted any vessel entering a port. The current week is an estimate; data is subject to change as remaining data is received over subsequent weeks.","MARAD Office of Policy and Plans analysis of CBP VMS data"
"1_2019_11_17","2019 Nov 17 12:00:00 AM","2,019","Capacity of Containerships Calling at U.S. Ports (in TEUs)",,,,,"1,864,393","TEUs","This series is now based on CBP's Vessel Management System (VMS) data (previously based on AIS data from IHS). The VMS series counts only vessels entering port for an official reason, typically to load or unload cargo which makes the number lower since the previous AIS series counted any vessel entering a port. The current week is an estimate; data is subject to change as remaining data is received over subsequent weeks.","MARAD Office of Policy and Plans analysis of CBP VMS data"
"1_2019_11_24","2019 Nov 24 12:00:00 AM","2,019","Capacity of Containerships Calling at U.S. Ports (in TEUs)",,,,,"1,893,874","TEUs","This series is now based on CBP's Vessel Management System (VMS) data (previously based on AIS data from IHS). The VMS series counts only vessels entering port for an official reason, typically to load or unload cargo which makes the number lower since the previous AIS series counted any vessel entering a port. The current week is an estimate; data is subject to change as remaining data is received over subsequent weeks.","MARAD Office of Policy and Plans analysis of CBP VMS data"
"1_2019_12_01","2019 Dec 01 12:00:00 AM","2,019","Capacity of Containerships Calling at U.S. Ports (in TEUs)",,,,,"1,904,519","TEUs","This series is now based on CBP's Vessel Management System (VMS) data (previously based on AIS data from IHS). The VMS series counts only vessels entering port for an official reason, typically to load or unload cargo which makes the number lower since the previous AIS series counted any vessel entering a port. The current week is an estimate; data is subject to change as remaining data is received over subsequent weeks.","MARAD Office of Policy and Plans analysis of CBP VMS data"
"1_2019_12_08","2019 Dec 08 12:00:00 AM","2,019","Capacity of Containerships Calling at U.S. Ports (in TEUs)",,,,,"1,928,751","TEUs","This series is now based on CBP's Vessel Management System (VMS) data (previously based on AIS data from IHS). The VMS series counts only vessels entering port for an official reason, typically to load or unload cargo which makes the number lower since the previous AIS series counted any vessel entering a port. The current week is an estimate; data is subject to change as remaining data is received over subsequent weeks.","MARAD Office of Policy and Plans analysis of CBP VMS data"
"1_2019_12_15","2019 Dec 15 12:00:00 AM","2,019","Capacity of Containerships Calling at U.S. Ports (in TEUs)",,,,,"1,842,818","TEUs","This series is now based on CBP's Vessel Management System (VMS) data (previously based on AIS data from IHS). The VMS series counts only vessels entering port for an official reason, typically to load or unload cargo which makes the number lower since the previous AIS series counted any vessel entering a port. The current week is an estimate; data is subject to change as remaining data is received over subsequent weeks.","MARAD Office of Policy and Plans analysis of CBP VMS data"
"1_2019_12_22","2019 Dec 22 12:00:00 AM","2,019","Capacity of Containerships Calling at U.S. Ports (in TEUs)",,,,,"2,046,054","TEUs","This series is now based on CBP's Vessel Management System (VMS) data (previously based on AIS data from IHS). The VMS series counts only vessels entering port for an official reason, typically to load or unload cargo which makes the number lower since the previous AIS series counted any vessel entering a port. The current week is an estimate; data is subject to change as remaining data is received over subsequent weeks.","MARAD Office of Policy and Plans analysis of CBP VMS data"
"1_2019_12_29","2019 Dec 29 12:00:00 AM","2,019","Capacity of Containerships Calling at U.S. Ports (in TEUs)",,,,,"1,701,219","TEUs","This series is now based on CBP's Vessel Management System (VMS) data (previously based on AIS data from IHS). The VMS series counts only vessels entering port for an official reason, typically to load or unload cargo which makes the number lower since the previous AIS series counted any vessel entering a port. The current week is an estimate; data is subject to change as remaining data is received over subsequent weeks.","MARAD Office of Policy and Plans analysis of CBP VMS data"
"1_2020_01_05","2020 Jan 05 12:00:00 AM","2,020","Capacity of Containerships Calling at U.S. Ports (in TEUs)",,,,,"1,846,962","TEUs","This series is now based on CBP's Vessel Management System (VMS) data (previously based on AIS data from IHS). The VMS series counts only vessels entering port for an official reason, typically to load or unload cargo which makes the number lower since the previous AIS series counted any vessel entering a port. The current week is an estimate; data is subject to change as remaining data is received over subsequent weeks.","MARAD Office of Policy and Plans analysis of CBP VMS data"
"1_2020_01_12","2020 Jan 12 12:00:00 AM","2,020","Capacity of Containerships Calling at U.S. Ports (in TEUs)",,,,,"2,060,635","TEUs","This series is now based on CBP's Vessel Management System (VMS) data (previously based on AIS data from IHS). The VMS series counts only vessels entering port for an official reason, typically to load or unload cargo which makes the number lower since the previous AIS series counted any vessel entering a port. The current week is an estimate; data is subject to change as remaining data is received over subsequent weeks.","MARAD Office of Policy and Plans analysis of CBP VMS data"
"1_2020_01_19","2020 Jan 19 12:00:00 AM","2,020","Capacity of Containerships Calling at U.S. Ports (in TEUs)",,,,,"1,726,622","TEUs","This series is now based on CBP's Vessel Management System (VMS) data (previously based on AIS data from IHS). The VMS series counts only vessels entering port for an official reason, typically to load or unload cargo which makes the number lower since the previous AIS series counted any vessel entering a port. The current week is an estimate; data is subject to change as remaining data is received over subsequent weeks.","MARAD Office of Policy and Plans analysis of CBP VMS data"
"1_2020_01_26","2020 Jan 26 12:00:00 AM","2,020","Capacity of Containerships Calling at U.S. Ports (in TEUs)",,,,,"1,975,668","TEUs","This series is now based on CBP's Vessel Management System (VMS) data (previously based on AIS data from IHS). The VMS series counts only vessels entering port for an official reason, typically to load or unload cargo which makes the number lower since the previous AIS series counted any vessel entering a port. The current week is an estimate; data is subject to change as remaining data is received over subsequent weeks.","MARAD Office of Policy and Plans analysis of CBP VMS data"
"1_2020_02_02","2020 Feb 02 12:00:00 AM","2,020","Capacity of Containerships Calling at U.S. Ports (in TEUs)",,,,,"1,982,584","TEUs","This series is now based on CBP's Vessel Management System (VMS) data (previously based on AIS data from IHS). The VMS series counts only vessels entering port for an official reason, typically to load or unload cargo which makes the number lower since the previous AIS series counted any vessel entering a port. The current week is an estimate; data is subject to change as remaining data is received over subsequent weeks.","MARAD Office of Policy and Plans analysis of CBP VMS data"
"1_2020_02_09","2020 Feb 09 12:00:00 AM","2,020","Capacity of Containerships Calling at U.S. Ports (in TEUs)",,,,,"1,930,942","TEUs","This series is now based on CBP's Vessel Management System (VMS) data (previously based on AIS data from IHS). The VMS series counts only vessels entering port for an official reason, typically to load or unload cargo which makes the number lower since the previous AIS series counted any vessel entering a port. The current week is an estimate; data is subject to change as remaining data is received over subsequent weeks.","MARAD Office of Policy and Plans analysis of CBP VMS data"
"1_2020_02_16","2020 Feb 16 12:00:00 AM","2,020","Capacity of Containerships Calling at U.S. Ports (in TEUs)",,,,,"1,824,640","TEUs","This series is now based on CBP's Vessel Management System (VMS) data (previously based on AIS data from IHS). The VMS series counts only vessels entering port for an official reason, typically to load or unload cargo which makes the number lower since the previous AIS series counted any vessel entering a port. The current week is an estimate; data is subject to change as remaining data is received over subsequent weeks.","MARAD Office of Policy and Plans analysis of CBP VMS data"
